# pcg_capture max4466 pin=39 fs=500 att=11db
# captured 20260905_134318 port=COM8 tag=chest_air_batt_p74
t_us,adc
3310000,1911
3312000,1911
3314000,1910
3316000,1911
3318000,1908
3320000,1912
3322001,1914
3324001,1911
3326001,1911
3328001,1915
3330001,1908
3332001,1909
3334001,1907
3336000,1910
3338000,1911
3340000,1911
3342000,1910
3344001,1911
3346000,1913
3348001,1915
3350001,1911
3352001,1911
3354000,1904
3356000,1909
3358000,1909
3360000,1914
3362001,1913
3364001,1911
3366000,1914
3368000,1914
3370000,1915
3372000,1913
3374000,1910
3376001,1913
3378001,1910
3380000,1911
3382000,1914
3384001,1910
3386001,1915
3388001,1913
3390001,1915
3392001,1910
3394001,1911
3396000,1909
3398000,1910
3400000,1913
3402000,1913
3404000,1911
3406000,1914
3408000,1911
3410000,1913
3412000,1913
3414001,1917
3416001,1904
3418000,1910
3420001,1910
3422000,1913
3424000,1914
3426001,1915
3428001,1913
3430001,1914
3432000,1914
3434000,1907
3436000,1910
3438000,1910
3440000,1906
3442000,1909
3444000,1921
3446001,1915
3448001,1911
3450001,1904
3452001,1911
3454001,1911
3456001,1910
3458001,1911
3460000,1914
3462001,1913
3464000,1915
3466000,1914
3468000,1918
3470000,1914
3472000,1914
3474000,1911
3476000,1913
3478000,1908
3480000,1909
3482000,1909
3484001,1913
3486001,1910
3488000,1911
3490001,1913
3492000,1913
3494000,1914
3496001,1919
3498001,1910
3500001,1914
3502001,1907
3504001,1909
3506001,1911
3508001,1913
3510001,1914
3512000,1915
3514000,1911
3516000,1915
3518001,1913
3520001,1908
3522001,1910
3524001,1909
3526001,1910
3528001,1913
3530001,1910
3532001,1914
3534000,1914
3536000,1915
3538000,1913
3540001,1911
3542001,1911
3544001,1910
3546001,1911
3548001,1910
3550001,1910
3552001,1913
3554000,1913
3556000,1911
3558000,1909
3560000,1911
3562001,1914
3564000,1911
3566001,1910
3568001,1909
3570000,1913
3572000,1914
3574000,1913
3576000,1914
3578001,1911
3580001,1914
3582001,1915
3584000,1911
3586000,1908
3588000,1908
3590000,1911
3592000,1910
3594000,1914
3596001,1914
3598001,1915
3600000,1954
3602001,1914
3604001,1913
3606001,1913
3608001,1915
3610001,1910
3612001,1913
3614000,1911
3616000,1911
3618000,1911
3620000,1913
3622000,1913
3624001,1914
3626001,1911
3628001,1915
3630001,1910
3632000,1911
3634000,1910
3636000,1913
3638000,1910
3640000,1915
3642000,1911
3644001,1910
3646001,1913
3648000,1910
3650000,1913
3652001,1910
3654001,1913
3656001,1910
3658001,1917
3660000,1910
3662001,1911
3664001,1909
3666001,1907
3668001,1911
3670001,1915
3672001,1914
3674001,1915
3676001,1911
3678001,1910
3680001,1917
3682001,1911
3684000,1913
3686000,1913
3688000,1915
3690000,1913
3692000,1914
3694000,1914
3696000,1913
3698000,1913
3700000,1913
3702000,1907
3704001,1913
3706001,1911
3708001,1913
3710001,1911
3712001,1910
3714000,1914
3716000,1914
3718000,1910
3720001,1914
3722000,1911
3724000,1911
3726001,1910
3728001,1915
3730001,1909
3732000,1907
3734000,1910
3736001,1915
3738001,1915
3740001,1913
3742001,1910
3744001,1910
3746000,1913
3748000,1914
3750000,1913
3752000,1915
3754000,1910
3756000,1910
3758000,1914
3760000,1916
3762001,1913
3764001,1911
3766001,1914
3768001,1914
3770001,1911
3772001,1911
3774001,1913
3776000,1915
3778000,1915
3780001,1911
3782001,1910
3784001,1914
3786001,1909
3788001,1910
3790001,1914
3792000,1913
